Ano,Distrito,Entidade,Valor
2009,Aveiro,GNR,1204
2009,Aveiro,PSP,725
2009,Beja,GNR,166
2009,Beja,PSP,109
2009,Braga,GNR,1051
2009,Braga,PSP,584
2009,Bragança,GNR,162
2009,Bragança,PSP,121
2009,Castelo Branco,GNR,327
2009,Castelo Branco,PSP,106
2009,Coimbra,GNR,673
2009,Coimbra,PSP,418
2009,Évora,GNR,216
2009,Évora,PSP,171
2009,Faro,GNR,702
2009,Faro,PSP,667
2009,Guarda,GNR,201
2009,Guarda,PSP,59
2009,Leiria,GNR,661
2009,Leiria,PSP,504
2009,Lisboa,GNR,846
2009,Lisboa,PSP,6676
2009,Portalegre,GNR,177
2009,Portalegre,PSP,109
2009,Porto,GNR,2209
2009,Porto,PSP,4353
2009,Santarém,GNR,634
2009,Santarém,PSP,254
2009,Setúbal,GNR,975
2009,Setúbal,PSP,1425
2009,Viana do Castelo,GNR,482
2009,Viana do Castelo,PSP,102
2009,Vila Real,GNR,316
2009,Vila Real,PSP,99
2009,Viseu,GNR,543
2009,Viseu,PSP,194
2009,Região Autónoma Açores,GNR,ND
2009,Região Autónoma Açores,PSP,1302
2009,Região Autónoma Madeira,GNR,ND
2009,Região Autónoma Madeira,PSP,1020
2010,Aveiro,GNR,1378
2010,Aveiro,PSP,707
2010,Beja,GNR,195
2010,Beja,PSP,87
2010,Braga,GNR,1155
2010,Braga,PSP,683
2010,Bragança,GNR,253
2010,Bragança,PSP,106
2010,Castelo Branco,GNR,360
2010,Castelo Branco,PSP,138
2010,Coimbra,GNR,636
2010,Coimbra,PSP,425
2010,Évora,GNR,247
2010,Évora,PSP,162
2010,Faro,GNR,789
2010,Faro,PSP,672
2010,Guarda,GNR,227
2010,Guarda,PSP,65
2010,Leiria,GNR,746
2010,Leiria,PSP,475
2010,Lisboa,GNR,1042
2010,Lisboa,PSP,6272
2010,Portalegre,GNR,182
2010,Portalegre,PSP,115
2010,Porto,GNR,2395
2010,Porto,PSP,3960
2010,Santarém,GNR,746
2010,Santarém,PSP,341
2010,Setúbal,GNR,950
2010,Setúbal,PSP,1556
2010,Viana do Castelo,GNR,465
2010,Viana do Castelo,PSP,123
2010,Vila Real,GNR,409
2010,Vila Real,PSP,134
2010,Viseu,GNR,567
2010,Viseu,PSP,196
2010,Região Autónoma Açores,GNR,0
2010,Região Autónoma Açores,PSP,1259
2010,Região Autónoma Madeira,GNR,0
2010,Região Autónoma Madeira,PSP,1017
2011,Aveiro,GNR,1192
2011,Aveiro,PSP,603
2011,Beja,GNR,196
2011,Beja,PSP,54
2011,Braga,GNR,1080
2011,Braga,PSP,618
2011,Bragança,GNR,252
2011,Bragança,PSP,101
2011,Castelo Branco,GNR,305
2011,Castelo Branco,PSP,157
2011,Coimbra,GNR,553
2011,Coimbra,PSP,444
2011,Évora,GNR,248
2011,Évora,PSP,181
2011,Faro,GNR,714
2011,Faro,PSP,636
2011,Guarda,GNR,242
2011,Guarda,PSP,64
2011,Leiria,GNR,695
2011,Leiria,PSP,353
2011,Lisboa,GNR,972
2011,Lisboa,PSP,5742
2011,Portalegre,GNR,162
2011,Portalegre,PSP,99
2011,Porto,GNR,2037
2011,Porto,PSP,4002
2011,Santarém,GNR,647
2011,Santarém,PSP,321
2011,Setúbal,GNR,851
2011,Setúbal,PSP,1431
2011,Viana do Castelo,GNR,408
2011,Viana do Castelo,PSP,112
2011,Vila Real,GNR,397
2011,Vila Real,PSP,145
2011,Viseu,GNR,534
2011,Viseu,PSP,243
2011,Região Autónoma Açores,GNR,ND
2011,Região Autónoma Açores,PSP,1238
2011,Região Autónoma Madeira,GNR,ND
2011,Região Autónoma Madeira,PSP,951
2012,Aveiro,GNR,1176
2012,Aveiro,PSP,403
2012,Beja,GNR,244
2012,Beja,PSP,73
2012,Braga,GNR,1161
2012,Braga,PSP,553
2012,Bragança,GNR,240
2012,Bragança,PSP,108
2012,Castelo Branco,GNR,301
2012,Castelo Branco,PSP,122
2012,Coimbra,GNR,552
2012,Coimbra,PSP,452
2012,Évora,GNR,277
2012,Évora,PSP,150
2012,Faro,GNR,793
2012,Faro,PSP,539
2012,Guarda,GNR,203
2012,Guarda,PSP,78
2012,Leiria,GNR,673
2012,Leiria,PSP,306
2012,Lisboa,GNR,744
2012,Lisboa,PSP,4952
2012,Portalegre,GNR,155
2012,Portalegre,PSP,85
2012,Porto,GNR,1869
2012,Porto,PSP,3300
2012,Santarém,GNR,637
2012,Santarém,PSP,346
2012,Setúbal,GNR,951
2012,Setúbal,PSP,1311
2012,Viana do Castelo,GNR,379
2012,Viana do Castelo,PSP,106
2012,Vila Real,GNR,405
2012,Vila Real,PSP,111
2012,Viseu,GNR,583
2012,Viseu,PSP,208
2012,Região Autónoma Açores,GNR,2
2012,Região Autónoma Açores,PSP,1154
2012,Região Autónoma Madeira,GNR,1
2012,Região Autónoma Madeira,PSP,975
2013,Aveiro,GNR,1245
2013,Aveiro,PSP,423
2013,Beja,GNR,242
2013,Beja,PSP,74
2013,Braga,GNR,1218
2013,Braga,PSP,659
2013,Bragança,GNR,244
2013,Bragança,PSP,114
2013,Castelo Branco,GNR,284
2013,Castelo Branco,PSP,153
2013,Coimbra,GNR,625
2013,Coimbra,PSP,505
2013,Évora,GNR,207
2013,Évora,PSP,169
2013,Faro,GNR,732
2013,Faro,PSP,539
2013,Guarda,GNR,254
2013,Guarda,PSP,59
2013,Leiria,GNR,559
2013,Leiria,PSP,339
2013,Lisboa,GNR,748
2013,Lisboa,PSP,5137
2013,Portalegre,GNR,187
2013,Portalegre,PSP,98
2013,Porto,GNR,1951
2013,Porto,PSP,3191
2013,Santarém,GNR,660
2013,Santarém,PSP,338
2013,Setúbal,GNR,1030
2013,Setúbal,PSP,1350
2013,Viana do Castelo,GNR,359
2013,Viana do Castelo,PSP,149
2013,Vila Real,GNR,443
2013,Vila Real,PSP,144
2013,Viseu,GNR,539
2013,Viseu,PSP,220
2013,Região Autónoma Açores,GNR,1
2013,Região Autónoma Açores,PSP,1111
2013,Região Autónoma Madeira,GNR,0
2013,Região Autónoma Madeira,PSP,1018
2014,Aveiro,GNR,1390
2014,Aveiro,PSP,470
2014,Beja,GNR,207
2014,Beja,PSP,65
2014,Braga,GNR,1084
2014,Braga,PSP,625
2014,Bragança,GNR,246
2014,Bragança,PSP,119
2014,Castelo Branco,GNR,309
2014,Castelo Branco,PSP,165
2014,Coimbra,GNR,618
2014,Coimbra,PSP,512
2014,Évora,GNR,226
2014,Évora,PSP,137
2014,Faro,GNR,742
2014,Faro,PSP,571
2014,Guarda,GNR,282
2014,Guarda,PSP,75
2014,Leiria,GNR,584
2014,Leiria,PSP,359
2014,Lisboa,GNR,804
2014,Lisboa,PSP,5047
2014,Portalegre,GNR,151
2014,Portalegre,PSP,99
2014,Porto,GNR,2046
2014,Porto,PSP,3105
2014,Santarém,GNR,582
2014,Santarém,PSP,339
2014,Setúbal,GNR,1008
2014,Setúbal,PSP,1302
2014,Viana do Castelo,GNR,334
2014,Viana do Castelo,PSP,177
2014,Vila Real,GNR,468
2014,Vila Real,PSP,117
2014,Viseu,GNR,644
2014,Viseu,PSP,218
2014,Região Autónoma Açores,GNR,0
2014,Região Autónoma Açores,PSP,1079
2014,Região Autónoma Madeira,GNR,1
2014,Região Autónoma Madeira,PSP,1010
